#_in-n-outs,Pop_2021,total_mileage_of_freeways,densityMi,growthSince2010,#_BurgerKing,#_innout_state,median_income_capita,GDP _capita,Percent_Change_GDP,percent_white,GDP_tate,CA_Dummy,innout_tree
74,10019635,840.67,2482.165845,0.0258717,197,267,23223,71,7.9,70.8,2885627.30,1,10+
31,3182923,268.04,4096.102402,0.076334648,59,267,27062,75,7,71.5,2885627.30,1,10+
22,4367186,58.54,500.1742391,0.205517934,133,34,25906,58,6.9,83.1,356417.00,0,10+
22,3296317,591.06,798.5809365,0.085392657,64,267,23823,68,7.8,75.5,2885627.30,1,10+
21,2409331,391.44,345.0939495,0.135687083,45,267,22198,35,6.8,79.7,2885627.30,1,10+
18,2231147,326.355,299.0391585,0.209324804,54,25,24862,50,9.2,76.7,165455.10,0,10+
18,2171071,391.44,110.9630553,0.093541207,45,267,20982,40,5.5,76.7,2885627.30,1,10+
11,1932022,256.88,1536.934109,0.112818961,41,267,18318,198,13.3,53.1,2885627.30,1,10+
9,2091953,385.978,2547.596065,0.216739431,40,39,23828,54,6.4,93.8,1876327.80,0,1~10
8,1571767,521.89,1694.234197,0.152346933,42,267,30102,55,5.6,63,2885627.30,1,1~10
7,2604722,383.628,3078.074456,0.134713376,65,39,22412,99,6.6,93.4,1876327.80,0,1~10
7,1673133,203.01,2346.38295,0.148123085,41,267,23605,78,6.5,49.7,2885627.30,1,1~10
7,1035063,131.24,115.639926,0.083774456,26,34,21957,40,4.3,84.9,356417.00,0,1~10
6,845255,283.93,461.2040152,0.032406676,14,267,25823,58,3,84.1,2885627.30,1,1~10
6,771406,220,580.4543494,0.17817734,19,267,26040,39,6.1,66.5,2885627.30,1,1~10
5,1267795,218.916,1381.012097,0.33750803,17,39,22211,102,11.6,93.4,1876327.80,0,1~10
5,1173331,17.26409541,1660.25876,0.196431815,32,12,22885,81,7.1,90.6,191965.20,0,1~10
5,1161643,111.64,1661.130014,0.14486976,30,267,24525,63,4.1,65.5,2885627.30,1,1~10
5,1003150,529.68,173.2025508,0.10926326,23,267,24290,42,1.2,76.7,2885627.30,1,1~10
5,762488,215.01,1737.140625,0.083217923,16,267,25729,187,12.9,60,2885627.30,1,1~10
5,400330,152.61,299.6673774,0.210084034,10,267,25893,57,7.9,84.3,2885627.30,1,1~10
4,905644,859.47,114.377152,0.107766388,30,267,27095,52,-1.1,82.3,2885627.30,1,1~10
4,216703,174.38,217.8009852,0.100667666,7,267,22993,65,3.3,74.2,2885627.30,1,1~10
4,49158,49.103,70.75352113,0.068898015,9,25,20533,72,5.9,92,165455.10,0,1~10
3,1990522,451.321,1691.684677,0.223304192,28,39,18061,50,5.4,91.6,1876327.80,0,1~10
3,1039812,187.042,1366.350773,0.468798133,16,39,27028,69,8.7,91.9,1876327.80,0,1~10
3,648265,6.7942136,350.4246507,0.359465623,8,12,25859,47,8.2,93.6,191965.20,0,1~10
3,550842,177.95,377.5277592,0.097095361,23,267,26316,40,3.7,83.5,2885627.30,1,1~10
3,492498,236.03,311.1402284,0.013389739,17,267,24112,58,6.4,86.8,2885627.30,1,1~10
3,479758,106.198,80.29450968,0.200777396,15,25,20251,55,8.1,94.9,165455.10,0,1~10
3,470999,342.05,99.9997927,0.090958639,11,267,20503,37,-0.4,88.2,2885627.30,1,1~10
3,451432,167.36,566.3454988,0.126267709,16,267,21594,59,2.1,59.7,2885627.30,1,1~10
2,4697957,487.978,2887.244575,0.202883645,119,39,15222,78,1.5,81.2,1876327.80,0,1~10
2,885012,163.483,1114.408419,0.478334294,11,39,24959,43,8.2,90.8,1876327.80,0,1~10
2,722736,91.016,358.6431594,0.225902874,35,4,29314,1,4.2,97.6,385834.80,0,1~10
2,591759,214.431,594.7397138,0.573106305,12,39,19024,42,7.4,93.7,1876327.80,0,1~10
2,447651,291.75,166.5550274,0.074624612,6,267,23552,64,5.3,85.4,2885627.30,1,1~10
2,438953,286.41,136.0039622,0.075102938,13,267,14898,59,1.8,82.7,2885627.30,1,1~10
