#_in-n-outs,Pop_2021,total_mileage_of_freeways,densityMi,growthSince2010,#_BurgerKing,#_innout_state,median_income_capita,GDP _capita,Percent_Change_GDP,percent_white,GDP_of_State,innout_tree
74,10019635,840.67,2482.165845,0.0258717,197,267,23223,71,7.9,70.8,2885627.3,10+
31,3182923,268.04,4096.102402,0.076334648,59,267,27062,75,7,71.5,2885627.3,10+
22,3296317,591.06,798.5809365,0.085392657,64,267,23823,68,7.8,75.5,2885627.3,10+
21,2409331,391.44,345.0939495,0.135687083,45,267,22198,35,6.8,79.7,2885627.3,10+
18,2171071,391.44,110.9630553,0.093541207,45,267,20982,40,5.5,76.7,2885627.3,10+
11,1932022,256.88,1536.934109,0.112818961,41,267,18318,198,13.3,53.1,2885627.3,10+
8,1571767,521.89,1694.234197,0.152346933,42,267,30102,55,5.6,63,2885627.3,1~10
7,1673133,203.01,2346.38295,0.148123085,41,267,23605,78,6.5,49.7,2885627.3,1~10
6,845255,283.93,461.2040152,0.032406676,14,267,25823,58,3,84.1,2885627.3,1~10
6,771406,220,580.4543494,0.17817734,19,267,26040,39,6.1,66.5,2885627.3,1~10
5,1161643,111.64,1661.130014,0.14486976,30,267,24525,63,4.1,65.5,2885627.3,1~10
5,1003150,529.68,173.2025508,0.10926326,23,267,24290,42,1.2,76.7,2885627.3,1~10
5,762488,215.01,1737.140625,0.083217923,16,267,25729,187,12.9,60,2885627.3,1~10
5,400330,152.61,299.6673774,0.210084034,10,267,25893,57,7.9,84.3,2885627.3,1~10
4,905644,859.47,114.377152,0.107766388,30,267,27095,52,-1.1,82.3,2885627.3,1~10
4,216703,174.38,217.8009852,0.100667666,7,267,22993,65,3.3,74.2,2885627.3,1~10
3,550842,177.95,377.5277592,0.097095361,23,267,26316,40,3.7,83.5,2885627.3,1~10
3,492498,236.03,311.1402284,0.013389739,17,267,24112,58,6.4,86.8,2885627.3,1~10
3,470999,342.05,99.9997927,0.090958639,11,267,20503,37,-0.4,88.2,2885627.3,1~10
3,451432,167.36,566.3454988,0.126267709,16,267,21594,59,2.1,59.7,2885627.3,1~10
2,447651,291.75,166.5550274,0.074624612,6,267,23552,64,5.3,85.4,2885627.3,1~10
2,438953,286.41,136.0039622,0.075102938,13,267,14898,59,1.8,82.7,2885627.3,1~10
2,282771,354.03,86.71947895,0.06165326,7,267,26281,56,3.5,88.8,2885627.3,1~10
2,279150,255.47,149.2635659,0.129135668,6,267,20368,32,-0.9,82,2885627.3,1~10
2,262387,93.76,510.1807692,0.051048101,4,267,24430,109,3.6,85.5,2885627.3,1~10
2,181935,315.52,48.64476821,0.036174763,7,267,28741,41,1.6,87.8,2885627.3,1~10
2,151887,160.6,109.6731461,-0.004222719,2,267,22197,40,-1,81,2885627.3,1~10
1,865933,714.55,19033.70213,0.110960155,18,267,33126,232,14,52.9,2885627.3,1~10
1,217884,183.54,127.8245721,-0.04945,9,267,16509,37,0.1,85.9,2885627.3,1~10
1,190568,175.86,113.7142857,0.07271703,2,267,47823,39,5.1,88.9,2885627.3,1~10
