Pop_2021,total_mileage_of_freeways,densityMi,growthSince2010,#_BurgerKing,GDP_of_State,#_innout_state,median_income_capita,GDP _capita,Percent_Change_GDP,percent_white,CA_Dummy
76683.0000000000,46.2880000000,230.6231454006,0.0344873484,5.0000000000,367776.0000000000,0.0000000000,25353.0000000000,65.8141961060,12.7000000000,91.7000000000,0.0000000000
49754.0000000000,69.4320000000,109.2637130802,0.1494296240,2.0000000000,367776.0000000000,0.0000000000,19855.0000000000,37.1272661495,11.8000000000,87.0000000000,0.0000000000
15872.0000000000,63.6460000000,39.7918781726,-0.0491843047,1.0000000000,367776.0000000000,0.0000000000,19168.0000000000,21.5058593750,5.5000000000,94.7000000000,0.0000000000
14863.0000000000,40.5020000000,38.2389162562,0.2057315937,0.0000000000,367776.0000000000,0.0000000000,16631.0000000000,13.2811680011,4.0000000000,90.6000000000,0.0000000000
134042.0000000000,86.7900000000,248.5885509839,0.1296723844,3.0000000000,367776.0000000000,0.0000000000,24507.0000000000,43.4896077349,11.3000000000,93.8000000000,0.0000000000
107845.0000000000,69.4320000000,338.9604863222,0.1268655962,1.0000000000,367776.0000000000,0.0000000000,22294.0000000000,38.7622977421,4.0000000000,90.9000000000,0.0000000000
39388.0000000000,57.8600000000,80.9166666667,-0.0460752530,0.0000000000,367776.0000000000,0.0000000000,17242.0000000000,23.9007819641,9.8000000000,97.5000000000,0.0000000000
14309.0000000000,40.5020000000,55.3233082707,0.0662995435,0.0000000000,367776.0000000000,0.0000000000,20974.0000000000,17.9482144105,6.9000000000,95.8000000000,0.0000000000
28370.0000000000,69.4320000000,47.4390651085,-0.0037164294,0.0000000000,367776.0000000000,0.0000000000,19461.0000000000,19.8282692986,1.5000000000,86.7000000000,0.0000000000
56314.0000000000,57.8600000000,164.3255131965,-0.0241884926,1.0000000000,367776.0000000000,0.0000000000,19385.0000000000,17.2898568740,5.0000000000,96.4000000000,0.0000000000
40878.0000000000,46.2880000000,137.9569536424,0.0654136300,0.0000000000,367776.0000000000,0.0000000000,23730.0000000000,28.5281569548,10.5000000000,95.2000000000,0.0000000000
17278.0000000000,40.5020000000,60.8531468531,0.0159360224,1.0000000000,367776.0000000000,0.0000000000,19059.0000000000,19.3697187174,8.1000000000,87.2000000000,0.0000000000
31958.0000000000,69.4320000000,73.5448275862,-0.0068605842,1.0000000000,367776.0000000000,0.0000000000,18322.0000000000,24.3880718443,7.4000000000,96.4000000000,0.0000000000
7568.0000000000,34.7160000000,31.6329113924,-0.0463045414,0.0000000000,367776.0000000000,0.0000000000,16802.0000000000,22.9947145877,10.4000000000,96.3000000000,0.0000000000
